fips,cornpc
17001,1.0
17003,1.0
17005,1.0
17007,1.0
17009,1.0
17011,1.0
17013,1.0
17015,1.0
17017,1.0
17019,1.0
17021,1.0
17023,1.0
17025,1.0
17027,1.0
17029,1.0
17031,
17033,1.0
17035,1.0
17037,1.0
17039,1.0
17041,1.0
17043,
17045,1.0
17047,1.0
17049,1.0
17051,1.0
17053,1.0
17055,1.0
17057,1.0
17059,1.0
17061,1.0
17063,1.0
17065,1.0
17067,1.0
17069,1.0
17071,1.0
17073,1.0
17075,1.0
17077,1.0
17079,1.0
17081,1.0
17083,1.0
17085,1.0
17087,1.0
17089,1.0
17091,1.0
17093,1.0
17095,1.0
17097,1.0
17099,1.0
17101,1.0
17103,1.0
17105,1.0
17107,1.0
17109,1.0
17111,1.0
17113,1.0
17115,1.0
17117,1.0
17119,1.0
17121,1.0
17123,1.0
17125,1.0
17127,1.0
17129,1.0
17131,1.0
17133,1.0
17135,1.0
17137,1.0
17139,1.0
17141,1.0
17143,1.0
17145,1.0
17147,1.0
17149,1.0
17151,1.0
17153,1.0
17155,1.0
17157,1.0
17159,1.0
17161,1.0
17163,1.0
17165,1.0
17167,1.0
17169,1.0
17171,1.0
17173,1.0
17175,1.0
17177,1.0
17179,1.0
17181,1.0
17183,1.0
17185,1.0
17187,1.0
17189,1.0
17191,1.0
17193,1.0
17195,1.0
17197,1.0
17199,1.0
17201,1.0
17203,1.0
18001,1.0
18003,1.0
18005,1.0
18007,1.0
18009,1.0
18011,1.0
18013,1.0
18015,1.0
18017,1.0
18019,1.0
18021,1.0
18023,1.0
18025,1.0
18027,1.0
18029,1.0
18031,1.0
18033,1.0
18035,1.0
18037,1.0
18039,1.0
18041,1.0
18043,1.0
18045,1.0
18047,1.0
18049,1.0
18051,1.0
18053,1.0
18055,1.0
18057,1.0
18059,1.0
18061,1.0
18063,1.0
18065,1.0
18067,1.0
18069,1.0
18071,1.0
18073,1.0
18075,1.0
18077,1.0
18079,1.0
18081,1.0
18083,1.0
18085,1.0
18087,1.0
18089,1.0
18091,1.0
18093,1.0
18095,1.0
18097,1.0
18099,1.0
18101,1.0
18103,1.0
18105,1.0
18107,1.0
18109,1.0
18111,1.0
18113,1.0
18115,1.0
18117,1.0
18119,1.0
18121,1.0
18123,1.0
18125,1.0
18127,1.0
18129,1.0
18131,1.0
18133,1.0
18135,1.0
18137,1.0
18139,1.0
18141,1.0
18143,1.0
18145,1.0
18147,1.0
18149,1.0
18151,1.0
18153,1.0
18155,1.0
18157,1.0
18159,1.0
18161,1.0
18163,1.0
18165,1.0
18167,1.0
18169,1.0
18171,1.0
18173,1.0
18175,1.0
18177,1.0
18179,1.0
18181,1.0
18183,1.0
19001,1.0
19003,1.0
19005,1.0
19007,1.0
19009,1.0
19011,1.0
19013,1.0
19015,1.0
19017,1.0
19019,1.0
19021,1.0
19023,1.0
19025,1.0
19027,1.0
19029,1.0
19031,1.0
19033,1.0
19035,1.0
19037,1.0
19039,1.0
19041,1.0
19043,1.0
19045,1.0
19047,1.0
19049,1.0
19051,1.0
19053,1.0
19055,1.0
19057,1.0
19059,1.0
19061,1.0
19063,1.0
19065,1.0
19067,1.0
19069,1.0
19071,1.0
19073,1.0
19075,1.0
19077,1.0
19079,1.0
19081,1.0
19083,1.0
19085,1.0
19087,1.0
19089,1.0
19091,1.0
19093,1.0
19095,1.0
19097,1.0
19099,1.0
19101,1.0
19103,1.0
19105,1.0
19107,1.0
19109,1.0
19111,1.0
19113,1.0
19115,1.0
19117,1.0
19119,1.0
19121,1.0
19123,1.0
19125,1.0
19127,1.0
19129,1.0
19131,1.0
19133,1.0
19135,1.0
19137,1.0
19139,1.0
19141,1.0
19143,1.0
19145,1.0
19147,1.0
19149,1.0
19151,1.0
19153,1.0
19155,1.0
19157,1.0
19159,1.0
19161,1.0
19163,1.0
19165,1.0
19167,1.0
19169,1.0
19171,1.0
19173,1.0
19175,1.0
19177,1.0
19179,1.0
19181,1.0
19183,1.0
19185,1.0
19187,1.0
19189,1.0
19191,1.0
19193,1.0
19195,1.0
19197,1.0
20001,1.0
20003,1.0
20005,1.0
20007,1.0
20009,1.0
20011,1.0
20013,1.0
20015,1.0
20017,1.0
20019,
20021,1.0
20023,1.0
20025,
20027,1.0
20029,1.0
20031,1.0
20033,
20035,1.0
20037,1.0
20039,1.0
20041,1.0
20043,1.0
20045,1.0
20047,1.0
20049,1.0
20051,1.0
20053,
20055,1.0
20057,1.0
20059,1.0
20061,1.0
20063,1.0
20065,1.0
20067,1.0
20069,1.0
20071,1.0
20073,1.0
20075,1.0
20077,
20079,1.0
20081,1.0
20083,1.0
20085,1.0
20087,1.0
20089,1.0
20091,1.0
20093,1.0
20095,1.0
20097,1.0
20099,1.0
20101,1.0
20103,1.0
20105,
20107,1.0
20109,1.0
20111,1.0
20113,1.0
20115,1.0
20117,1.0
20119,1.0
20121,1.0
20123,1.0
20125,1.0
20127,1.0
20129,1.0
20131,1.0
20133,1.0
20135,1.0
20137,1.0
20139,1.0
20141,1.0
20143,
20145,1.0
20147,1.0
20149,1.0
20151,1.0
20153,1.0
20155,1.0
20157,1.0
20159,1.0
20161,1.0
20163,1.0
20165,1.0
20167,
20169,
20171,1.0
20173,1.0
20175,1.0
20177,1.0
20179,1.0
20181,1.0
20183,1.0
20185,1.0
20187,1.0
20189,1.0
20191,1.0
20193,1.0
20195,1.0
20197,1.0
20199,1.0
20201,1.0
20203,1.0
20205,1.0
20207,1.0
20209,
26001,1.0
26003,
26005,1.0
26007,1.0
26009,1.0
26011,1.0
